,gene_name,ribosomal_subunit
ENSG00000034053,APBA2,False
ENSG00000034152,MAP2K3,False
ENSG00000034239,EFCAB1,False
ENSG00000034510,TMSB10,False
ENSG00000034533,ASTE1,False
ENSG00000034677,RNF19A,False
ENSG00000034693,PEX3,False
ENSG00000034713,GABARAPL2,False
ENSG00000034971,MYOC,False
ENSG00000035115,SH3YL1,False
ENSG00000035141,FAM136A,False
ENSG00000035403,VCL,False
ENSG00000035499,DEPDC1B,False
ENSG00000035664,DAPK2,False
ENSG00000035681,NSMAF,False
ENSG00000035687,ADSS,False
ENSG00000035720,STAP1,False
ENSG00000035862,TIMP2,False
ENSG00000035928,RFC1,False
ENSG00000036054,TBC1D23,False
ENSG00000036257,CUL3,False
ENSG00000036448,MYOM2,False
ENSG00000036473,OTC,False
ENSG00000036530,CYP46A1,False
ENSG00000036549,ZZZ3,False
ENSG00000036565,SLC18A1,False
ENSG00000036672,USP2,False
ENSG00000036828,CASR,False
ENSG00000037042,TUBG2,False
ENSG00000037241,RPL26L1,True
ENSG00000037280,FLT4,False
ENSG00000037474,NSUN2,False
ENSG00000037637,FBXO42,False
ENSG00000037749,MFAP3,False
ENSG00000037757,MRI1,False
ENSG00000037897,METTL1,False
ENSG00000037965,HOXC8,False
ENSG00000038002,AGA,False
ENSG00000038210,PI4K2B,False
ENSG00000038219,BOD1L1,False
ENSG00000038274,MAT2B,False
ENSG00000038295,TLL1,False
ENSG00000038358,EDC4,False
ENSG00000038382,TRIO,False
ENSG00000038427,VCAN,False
ENSG00000038532,CLEC16A,False
ENSG00000038945,MSR1,False
ENSG00000039068,CDH1,False
ENSG00000039123,SKIV2L2,False
ENSG00000039139,DNAH5,False
ENSG00000039319,ZFYVE16,False
ENSG00000039523,FAM65A,False
ENSG00000039537,C6,False
ENSG00000039560,RAI14,False
ENSG00000039600,SOX30,False
ENSG00000039650,PNKP,False
ENSG00000039987,BEST2,False
ENSG00000040199,PHLPP2,False
ENSG00000040275,SPDL1,False
ENSG00000040341,STAU2,False
ENSG00000040487,PQLC2,False
ENSG00000040531,CTNS,False
ENSG00000040608,RTN4R,False
ENSG00000040633,PHF23,False
ENSG00000040731,CDH10,False
ENSG00000040933,INPP4A,False
ENSG00000041353,RAB27B,False
ENSG00000041357,PSMA4,False
ENSG00000041515,MYO16,False
ENSG00000041802,LSG1,False
ENSG00000041880,PARP3,False
ENSG00000041982,TNC,False
ENSG00000041988,THAP3,False
ENSG00000042062,FAM65C,False
ENSG00000042088,TDP1,False
ENSG00000042286,AIFM2,False
ENSG00000042317,SPATA7,False
ENSG00000042429,MED17,False
ENSG00000042445,RETSAT,False
ENSG00000042493,CAPG,False
ENSG00000042753,AP2S1,False
ENSG00000042781,USH2A,False
ENSG00000042813,ZPBP,False
ENSG00000042832,TG,False
ENSG00000042980,ADAM28,False
ENSG00000043039,BARX2,False
ENSG00000043093,DCUN1D1,False
ENSG00000043143,JADE2,False
ENSG00000043355,ZIC2,False
ENSG00000043462,LCP2,False
ENSG00000043514,TRIT1,False
ENSG00000043591,ADRB1,False
ENSG00000044012,GUCA2B,False
ENSG00000044090,CUL7,False
ENSG00000044115,CTNNA1,False
ENSG00000044446,PHKA2,False
ENSG00000044459,CNTLN,False
ENSG00000044524,EPHA3,False
ENSG00000044574,HSPA5,False
ENSG00000046604,DSG2,False
ENSG00000046647,GEMIN8,False
ENSG00000046651,OFD1,False
ENSG00000046653,GPM6B,False
ENSG00000046774,MAGEC2,False
ENSG00000046889,PREX2,False
ENSG00000047056,WDR37,False
ENSG00000047188,YTHDC2,False
ENSG00000047230,CTPS2,False
ENSG00000047249,ATP6V1H,False
ENSG00000047315,POLR2B,False
ENSG00000047346,FAM214A,False
ENSG00000047365,ARAP2,False
ENSG00000047410,TPR,False
ENSG00000047457,CP,False
ENSG00000047578,KIAA0556,False
ENSG00000047579,DTNBP1,False
ENSG00000047597,XK,False
ENSG00000047617,ANO2,False
ENSG00000047621,C12orf4,False
ENSG00000047634,SCML1,False
ENSG00000047644,WWC3,False
ENSG00000047648,ARHGAP6,False
ENSG00000047662,FAM184B,False
ENSG00000047849,MAP4,False
ENSG00000047932,GOPC,False
ENSG00000047936,ROS1,False
ENSG00000048028,USP28,False
ENSG00000048052,HDAC9,False
ENSG00000048140,TSPAN17,False
ENSG00000048162,NOP16,False
ENSG00000048342,CC2D2A,False
ENSG00000048392,RRM2B,False
ENSG00000048405,ZNF800,False
ENSG00000048462,TNFRSF17,False
ENSG00000048471,SNX29,False
ENSG00000048540,LMO3,False
ENSG00000048544,MRPS10,True
ENSG00000048545,GUCA1A,False
ENSG00000048649,RSF1,False
ENSG00000048707,VPS13D,False
ENSG00000048740,CELF2,False
ENSG00000048828,FAM120A,False
ENSG00000048991,R3HDM1,False
ENSG00000049089,COL9A2,False
ENSG00000049130,KITLG,False
ENSG00000049167,ERCC8,False
ENSG00000049192,ADAMTS6,False
ENSG00000049239,H6PD,False
ENSG00000049245,VAMP3,False
ENSG00000049246,PER3,False
ENSG00000049247,UTS2,False
ENSG00000049249,TNFRSF9,False
ENSG00000049283,EPN3,False
ENSG00000049323,LTBP1,False
ENSG00000049449,RCN1,False
ENSG00000049540,ELN,False
ENSG00000049541,RFC2,False
ENSG00000049618,ARID1B,False
ENSG00000049656,CLPTM1L,False
ENSG00000049759,NEDD4L,False
ENSG00000049768,FOXP3,False
ENSG00000049769,PPP1R3F,False
ENSG00000049860,HEXB,False
ENSG00000049883,PTCD2,False
ENSG00000050030,KIAA2022,False
ENSG00000050130,JKAMP,False
ENSG00000050165,DKK3,False
ENSG00000050327,ARHGEF5,False
ENSG00000050344,NFE2L3,False
ENSG00000050393,MCUR1,False
ENSG00000050405,LIMA1,False
ENSG00000050426,LETMD1,False
ENSG00000050438,SLC4A8,False
ENSG00000050555,LAMC3,False
ENSG00000050628,PTGER3,False
ENSG00000050730,TNIP3,False
ENSG00000050748,MAPK9,False
ENSG00000050767,COL23A1,False
ENSG00000050820,BCAR1,False
ENSG00000051009,FAM160A2,False
ENSG00000051108,HERPUD1,False
ENSG00000051128,HOMER3,False
ENSG00000051180,RAD51,False
ENSG00000051341,POLQ,False
ENSG00000051382,PIK3CB,False
ENSG00000051523,CYBA,False
ENSG00000051596,THOC3,False
ENSG00000051620,HEBP2,False
ENSG00000051825,MPHOSPH9,False
ENSG00000052126,PLEKHA5,False
ENSG00000052344,PRSS8,False
ENSG00000052723,SIKE1,False
ENSG00000052749,RRP12,False
ENSG00000052795,FNIP2,False
ENSG00000052802,MSMO1,False
ENSG00000052841,TTC17,False
ENSG00000053108,FSTL4,False
ENSG00000053254,FOXN3,False
ENSG00000053328,METTL24,False
ENSG00000053371,AKR7A2,False
ENSG00000053372,MRTO4,False
